,relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
5949716,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,7097,1,gene/protein,A1BG,NCBI
5949717,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,2174,19,gene/protein,ABCA1,NCBI
5949718,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,8038,43,gene/protein,ACHE,NCBI
5949719,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,5925,52,gene/protein,ACP1,NCBI
5949720,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,238,60,gene/protein,ACTB,NCBI
5949721,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,8641,104,gene/protein,ADARB1,NCBI
5949722,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,7359,113,gene/protein,ADCY7,NCBI
5949723,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,8757,116,gene/protein,ADCYAP1,NCBI
5949724,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,6552,117,gene/protein,ADCYAP1R1,NCBI
5949725,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,5399,132,gene/protein,ADK,NCBI
5949726,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,8222,133,gene/protein,ADM,NCBI
5949727,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,11143,134,gene/protein,ADORA1,NCBI
5949728,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,4969,135,gene/protein,ADORA2A,NCBI
5949729,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,1659,148,gene/protein,ADRA1A,NCBI
5949730,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,2472,150,gene/protein,ADRA2A,NCBI
5949731,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,11375,159,gene/protein,ADSS2,NCBI
5949732,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,3321,175,gene/protein,AGA,NCBI
5949733,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,1694,177,gene/protein,AGER,NCBI
5949734,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,995,182,gene/protein,JAG1,NCBI
5949735,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,1057,207,gene/protein,AKT1,NCBI
5949736,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,5856,216,gene/protein,ALDH1A1,NCBI
5949737,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,3829,218,gene/protein,ALDH3A1,NCBI
5949738,disease_protein,associated with,28313,5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,disease,schizophrenia,MONDO_grouped,2149,221,gene/protein,ALDH3B1,NCBI
